id,name,group,kind,realmIndex,realm,rarity,stack,effect,craftUse,source,npcSell,npcBuy,marketMin,marketMax,marketPolicy,bindPolicy,destroyOnUse,economicRole,runtimeStatus
it_heal_pill,Hồi Nguyên Hoàn,Đan dược,Hồi HP,0,Phàm Nhân,Hạ phẩm,20,Hồi 12% HP; chung CD đan 25s,,Starter/Craft/NPC,80,20,60,70,market,none,True,consumable_sink,mvp_contract
it_qi_pill,Ích Khí Tán,Đan dược,Hồi linh,1,Luyện Khí sơ (1-3),Hạ phẩm,20,Hồi 18% linh lực trong 4s; bị hit không hủy,,Craft,,20,70,90,market,none,True,consumable_sink,mvp_contract
it_pill_detox,Giải Độc Đan,Đan dược,Giải độc,1,Luyện Khí sơ (1-3),Trung phẩm,10,Xóa 1 độc thường; độc boss chỉ giảm 50% thời lượng,,Luyện đan,,,65,85,market,none,True,consumable_sink,future_design
it_pill_focus,Thanh Tâm Đan,Đan dược,Kháng CC,2,Luyện Khí trung (4-6),Trung phẩm,10,+15% kháng slow/root 20s; không chống stun,,Luyện đan,,,90,110,market,none,True,consumable_sink,future_design
it_pill_blood,Huyết Khí Đan,Đan dược,Buff ATK,2,Luyện Khí trung (4-6),Trung phẩm,10,+6% ATK 30s; -4% DEF,,Luyện đan,,,90,110,market,none,True,consumable_sink,future_design
it_pill_guard,Hộ Thể Đan,Đan dược,Buff DEF,2,Luyện Khí trung (4-6),Trung phẩm,10,+7% DEF 30s; -3% move,,Luyện đan,,,90,110,market,none,True,consumable_sink,future_design
it_pill_gather,Tụ Khí Đan,Đan dược,Tu luyện,1,Luyện Khí sơ (1-3),Trung phẩm,20,+10% tốc độ tích lũy tu vi 10 phút; ngoài PvP,,Luyện đan,,,65,85,market,none,True,consumable_sink,future_design
it_pill_breakthrough,Phá Chướng Đan,Đan dược,Đột phá,3,Luyện Khí hậu (7-9),Thượng phẩm,5,Tăng nhẹ cơ hội đột phá Luyện Khí; không đảm bảo,,Bí cảnh/Luyện đan,,,150,190,market,none,True,consumable_sink,future_design
it_pill_foundation,Trúc Cơ Đan,Đan dược,Đột phá,3,Luyện Khí hậu (7-9),Cực phẩm,3,Tăng đáng kể cơ hội Trúc Cơ; giảm hậu quả thất bại,,Boss/Bí cảnh/Luyện đan,,,180,230,market,none,True,consumable_sink,future_design
it_pill_meridian,Hộ Mạch Đan,Đan dược,Đột phá,4,Trúc Cơ sơ,Thượng phẩm,5,Giảm 35% tổn thất khi đột phá thất bại,,Luyện đan,,,215,275,market,none,True,consumable_sink,future_design
it_pill_speed,Khinh Thân Đan,Đan dược,Cơ động,3,Luyện Khí hậu (7-9),Thượng phẩm,10,+6% move 30s; không stack với đan cùng nhóm,,Luyện đan,,,150,190,market,none,True,consumable_sink,future_design
it_pill_vision,Minh Mục Đan,Đan dược,Khám phá,2,Luyện Khí trung (4-6),Trung phẩm,10,Hiện dấu vết tài nguyên hiếm trong 6 phút,,Luyện đan,,,90,110,market,none,True,consumable_sink,future_design
it_pill_fire_res,Hàn Tức Đan,Đan dược,Kháng Hỏa,3,Luyện Khí hậu (7-9),Thượng phẩm,10,-10% Hỏa damage 40s,,Luyện đan,,,150,190,market,none,True,consumable_sink,future_design
it_pill_poison,Bách Độc Hoàn,Đan dược,Độc,4,Trúc Cơ sơ,Thượng phẩm,10,Vũ khí gây +2% ATK độc/s trong 5s; 20s,,Độc tu/Luyện đan,,,215,275,market,none,True,consumable_sink,future_design
it_pill_mind,Dưỡng Thần Đan,Đan dược,Linh lực,5,Trúc Cơ trung,Cực phẩm,5,+12% max linh lực 5 phút; ngoài arena xếp hạng,,Bí cảnh/Luyện đan,,,350,450,market,none,True,consumable_sink,future_design
it_herb_cam_lo,Cam Lộ,Linh thảo,Dược thảo,0,Phàm Nhân,Hạ phẩm,99,,Hồi Nguyên Hoàn,Trúc Âm node/vườn,,10,12,18,market,none,False,craft_material,mvp_contract
it_herb_ich_khi,Ích Khí,Linh thảo,Dược thảo,1,Luyện Khí sơ (1-3),Hạ phẩm,99,,Ích Khí Tán/Tụ Khí Đan,Thạch Cạn node/vườn,,10,12,18,market,none,False,craft_material,mvp_contract
it_herb_tinh_tam,Tĩnh Tâm,Linh thảo,Dược thảo,1,Luyện Khí sơ (1-3),Hạ phẩm,99,,Ích Khí Tán/Thoát Thân Phù,Trúc Âm node/vườn,,10,12,18,market,none,False,craft_material,mvp_contract
it_herb_fireflower,Xích Dương Hoa,Linh thảo,Dược thảo,2,Luyện Khí trung (4-6),Trung phẩm,50,,Huyết Khí Đan/Hỏa dược,Hỏa Thạch Động,,,25,35,market,none,False,craft_material,future_design
it_herb_colddew,Hàn Lộ Thảo,Linh thảo,Dược thảo,2,Luyện Khí trung (4-6),Trung phẩm,50,,Hàn Tức Đan,Linh Tuyền ban đêm,,,25,35,market,none,False,craft_material,future_design
it_herb_vine,Thanh Đằng Tâm,Linh thảo,Dược thảo,2,Luyện Khí trung (4-6),Thượng phẩm,50,,Mộc/độc dược,Trúc Lâm sâu,,,30,40,market,none,False,craft_material,future_design
it_herb_earthroot,Địa Căn,Linh thảo,Dược thảo,2,Luyện Khí trung (4-6),Trung phẩm,50,,Hộ Thể Đan,Huyền Thiết Mạch,,,25,35,market,none,False,craft_material,future_design
it_herb_cloud,Vân Chi,Linh thảo,Dược thảo,3,Luyện Khí hậu (7-9),Thượng phẩm,50,,Phá Chướng Đan,Vách núi Thanh Vân,,,50,60,market,none,False,craft_material,future_design
it_herb_moon,Nguyệt Linh Hoa,Linh thảo,Dược thảo,3,Luyện Khí hậu (7-9),Thượng phẩm,50,,Dưỡng thần/giải độc,Âm Vụ Đầm,,,50,60,market,none,False,craft_material,future_design
