id,itemId,name,slot,build,realmIndex,realm,rarity,atk,def,hp,spirit,critPct,movePct,penPct,specialEffect,source,marketMin,marketMax,marketPolicy,bindPolicy,economicRole,runtimeStatus,balanceNote
eq_wp_wood_sword,it_wp_wood_sword,Mộc Kiếm,Vũ khí,Kiếm,0,Phàm Nhân,Phàm,8,0,0,0,0,0,0,Không,Nhiệm vụ nhập môn,,,bound,character_bound,progression_baseline,future_design,Chuẩn khởi đầu
eq_wp_rust_blade,it_wp_rust_blade,Thiết Đao Cũ,Vũ khí,Đao,0,Phàm Nhân,Phàm,10,0,0,0,0,0,0,-3% tốc đánh; đòn nặng +4%,Thợ rèn thôn,185,225,market,bind_on_equip,gear_sink,future_design,Hit nặng đổi tốc độ
eq_wp_bamboo_spear,it_wp_bamboo_spear,Trúc Thương,Vũ khí,Thương,0,Phàm Nhân,Phàm,8,0,0,0,0,0,0,+0.3m tầm đánh,Chế tạo: Trúc cứng x3,185,225,market,bind_on_equip,gear_sink,future_design,Reach không tăng damage
eq_wp_hunter_bow,it_wp_hunter_bow,Liệp Cung,Vũ khí,Cung,0,Phàm Nhân,Hạ phẩm,7,0,0,0,1,0,0,+5% damage lên thú thường,Thợ săn,215,265,market,bind_on_equip,gear_sink,future_design,Tầm xa nên ATK thấp hơn
eq_wp_iron_fist,it_wp_iron_fist,Thiết Quyền Sáo,Vũ khí,Quyền,1,Luyện Khí sơ (1-3),Hạ phẩm,14,2,0,0,0,0,0,Đòn thứ 4 +8% damage,Chế tạo: Huyền thiết vụn,280,340,market,bind_on_equip,gear_sink,future_design,Sustain cận chiến
eq_wp_iron_sword,it_iron_sword,Thanh Thiết Kiếm,Vũ khí,Kiếm,1,Luyện Khí sơ (1-3),Trung phẩm,17,0,0,0,1.5,0,0,Kiếm kỹ tiêu hao -3%,Chế tạo: it_iron ×6 + it_bamboo ×2; side 004/research,190,220,market,bind_on_equip,gear_sink,mvp_contract,Không cộng trực tiếp quá nhiều damage
eq_wp_black_blade,it_wp_black_blade,Hắc Thiết Đao,Vũ khí,Đao,1,Luyện Khí sơ (1-3),Trung phẩm,20,0,0,0,0,0,2,Kỹ năng đao +3% stagger,Chế tạo: Huyền thiết,325,395,market,bind_on_equip,gear_sink,future_design,"ATK cao, chậm"
eq_wp_long_spear,it_wp_long_spear,Xuyên Vân Thương,Vũ khí,Thương,1,Luyện Khí sơ (1-3),Trung phẩm,17,0,0,0,0,0,0,Đâm thẳng +6% damage nếu trúng đầu mũi,Tinh anh Phong Lang Lĩnh,325,395,market,bind_on_equip,gear_sink,future_design,Thưởng kỹ năng định hướng
eq_wp_spirit_bow,it_wp_spirit_bow,Tụ Linh Cung,Vũ khí,Cung,2,Luyện Khí trung (4-6),Trung phẩm,21,0,0,12,2,0,0,Bắn đủ charge +5% penetration,Chế tạo,560,680,market,bind_on_equip,gear_sink,future_design,Range tradeoff
eq_wp_flying_sword,it_wp_flying_sword,Thanh Ảnh Phi Kiếm,Vũ khí,Phi kiếm,2,Luyện Khí trung (4-6),Thượng phẩm,25,0,0,18,0,0,0,Phi kiếm skill +5% tốc bay,Cổ Tu Động Phủ,655,805,market,bind_on_equip,gear_sink,future_design,Utility thay vì raw damage
